"player","song","artist","album","song_clean","artist_clean","genre","artist_name","track_name","track_id","popularity","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","raw_name","player_id","year","pa","hit","single","double","triple","home_run","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","last","first","name","single_rate","double_rate","triple_rate","homerun_rate","tempo_bin","valence_bin"
"José Caballero","Bailando en la Lluvia","Daddy Yankee","Bailando en la Lluvia","bailando en la lluvia","daddy yankee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caballero, José",676609,2025,370,74,50,18,1,5,0.236,0.347,0.339,0.686,36.5,5.9,30.6,97.838589423,92.958973317,26.7,45,"Caballero","José","José Caballero",0.135135135135135,0.0486486486486487,0.0027027027027027,0.0135135135135135,"Fast (120+ BPM)","Happy"
"Trent Grisham","No Longer Bound (I'm Free)","Maverick City Music, Forrest Frank","No Longer Bound (I'm Free)","no longer bound (i'm free)","maverick city music, forrest frank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grisham, Trent",663757,2025,581,116,72,9,1,34,0.235,0.464,0.348,0.812,34.6,14.2,46.4,101.23838764,95.167728169,22.7,38.9,"Grisham","Trent","Trent Grisham",0.123924268502582,0.0154905335628227,0.00172117039586919,0.0585197934595525,"Fast (120+ BPM)","Happy"
"Aaron Judge","Swag Surfin'","F.L.Y. (Fast Life Yungstaz)","Jamboree","swag surfin'","f.l.y. (fast life yungstaz)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Judge, Aaron",592450,2025,679,179,94,30,2,53,0.331,0.688,0.457,1.145,39.4,24.7,58.2,106.838113247,98.650676124,34.6,43.7,"Judge","Aaron","Aaron Judge",0.138438880706922,0.0441826215022091,0.00294550810014728,0.0780559646539028,"Fast (120+ BPM)","Happy"
"Anthony Volpe","Where You Are","John Summit, Hayla","Where You Are","where you are","john summit, hayla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Volpe, Anthony",683011,2025,596,114,59,32,4,19,0.212,0.391,0.272,0.663,34.6,10.5,41.9,100.214381212,94.48835443,25.1,45.9,"Volpe","Anthony","Anthony Volpe",0.098993288590604,0.0536912751677852,0.00671140939597315,0.0318791946308725,"Fast (120+ BPM)","Happy"
"Austin Wells","Whole Lotta Love - 1990 Remaster","Led Zeppelin","Led Zeppelin II (1994 Remaster)","whole lotta love - 1990 remaster","led zeppelin","Rock","Led Zeppelin","Whole Lotta Love - 1990 Remaster","0hCB0YR03f6AmQaHbwWDe8",77,0.0484,0.412,333893,0.902,0.131,"A",0.405,-11.6,"Major",0.405,89.74,"4/4",0.422,"Wells, Austin",669224,2025,448,88,44,22,1,21,0.219,0.436,0.275,0.711,33,10.2,45.2,101.709094658,95.230029897,27.4,50.7,"Wells","Austin","Austin Wells",0.0982142857142857,0.0491071428571429,0.00223214285714286,0.046875,"Slow (<90 BPM)","Neutral"
"Mookie Betts","Put It On Da Floor Again (feat. Cardi B)","Latto, Cardi B","Put It On Da Floor Again (feat. Cardi B)","put it on da floor again (feat. cardi b)","latto, cardi b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betts, Mookie",605141,2025,663,152,107,23,2,20,0.258,0.406,0.326,0.732,37.7,5.5,35.8,98.069345714,93.262709925,15.3,41.2,"Betts","Mookie","Mookie Betts",0.161387631975867,0.0346907993966818,0.00301659125188537,0.0301659125188537,"Fast (120+ BPM)","Happy"
"Alex Call","Soul Survivor","Jeezy","Let's Get It: Thug Motivation 101","soul survivor","jeezy","Hip-Hop","Jeezy","Soul Survivor","0Ss50OU9tCozI7JIywkv14",63,0.00123,0.671,280013,0.499,0,"A#",0.239,-7.766,"Major",0.0442,84.045,"4/4",0.0854,"Call, Alex",669743,2025,322,72,52,13,2,5,0.267,0.385,0.361,0.746,32.4,4.4,28.9,97.303531852,92.783138698,19.2,38.5,"Call","Alex","Alex Call",0.161490683229814,0.0403726708074534,0.0062111801242236,0.015527950310559,"Slow (<90 BPM)","Sad"
"Tommy Edman","I'm So Blessed","CAIN","Rise Up","i'm so blessed","cain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Edman, Tommy",669242,2025,377,78,51,13,1,13,0.225,0.382,0.274,0.656,33.3,4.5,39.9,99.368114861,93.911672648,19.8,48,"Edman","Tommy","Tommy Edman",0.135278514588859,0.0344827586206897,0.0026525198938992,0.0344827586206897,"Fast (120+ BPM)","Happy"
"Freddie Freeman","Stay","Zedd, Alessia Cara","Stay","stay","zedd, alessia cara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freeman, Freddie",518692,2025,627,164,99,39,2,24,0.295,0.502,0.367,0.869,36.7,10.4,45.7,100.776056343,94.869970093,27.3,51.9,"Freeman","Freddie","Freddie Freeman",0.157894736842105,0.062200956937799,0.00318979266347687,0.0382775119617225,"Fast (120+ BPM)","Happy"
"Teoscar Hernández","Rest in Peace","WWE","WWE: Undertaker - From the Vault","rest in peace","wwe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hernández, Teoscar",606192,2025,546,126,71,29,1,25,0.247,0.454,0.284,0.738,34,11.5,46.1,101.752887801,95.144195209,31.9,50.4,"Hernández","Teoscar","Teoscar Hernández",0.13003663003663,0.0531135531135531,0.00183150183150183,0.0457875457875458,"Fast (120+ BPM)","Happy"
